T        B        V
0.01   1.5849  147.478
0.02   2.91577  295.516
0.03   4.54545  442.435
0.04   3.76591  586.926
0.05   3.46113  725.257
0.06   3.86658  857.987
0.07   3.30645  992.491
0.08   2.89457  1127.55
0.09   2.76914  1262.62
0.1   2.6179  1387.97
0.11   2.51903  1526.77
0.12   1.79949  1664.45
0.13   1.4823  1801.94
0.14   1.11097  1937.94
0.15   0.854215  2069.36
0.16   0.686109  2204.33
0.17   0.569107  2337.34
0.18   0.478728  2473.15
0.19   0.410607  2605.23
0.2   0.35743  2740.48
0.21   0.31695  2883.39
0.22   0.282917  3016.58
0.23   0.257128  3153.7
0.24   0.235469  3293.06
0.25   0.212612  3423.27
0.26   0.19137  3552.92
0.27   0.174986  3692.09
0.28   0.161445  3823.6
0.29   0.149923  3952.04
0.3   0.139957  4082.72
0.31   0.135101  4218.81
0.32   0.127648  4354.9
0.33   0.120842  4490.99
0.34   0.114721  4623.91
0.35   0.109058  4756.64
0.36   0.104792  4895.9
0.37   0.0994515  5024.99
0.38   0.0952668  5160.8
0.39   0.0910183  5289.33
0.4   0.0878117  5428.69
0.41   0.0844763  5560.58
0.42   0.0811548  5696.2
0.43   0.0782992  5831.83
0.44   0.0756166  5967.45
0.45   0.073167  6107.28
0.46   0.0706083  6238.7
0.47   0.0683321  6369.94
0.48   0.0662204  6500.99
0.49   0.0641221  6631.85
