#pT v_2 stat_err_v_2 v_3 stat_err_v_3
2.000000000000000111e-01 7.616376173280711183e-03 7.640201750188026393e-04 3.477379948558228552e-03 4.604918574770282312e-04
4.000000000000000222e-01 1.291739758442436194e-02 1.307182415590404587e-03 4.399748443763742099e-03 5.747261433063679788e-04
5.999999999999999778e-01 2.167071143202166719e-02 2.208695237738527752e-03 7.536605429530346227e-03 9.911838897014629748e-04
8.000000000000000444e-01 3.073028213363912867e-02 3.146295383825795274e-03 1.164891708157976893e-02 1.531780249935183608e-03
1.000000000000000000e+00 3.899929177969869987e-02 4.006553438302967209e-03 1.673023691075052263e-02 2.189751548673393375e-03
1.199999999999999956e+00 4.482526499295678979e-02 4.626873538746865792e-03 2.128725874381374311e-02 2.780901431564720711e-03
1.399999999999999911e+00 4.814665702680969578e-02 5.002658081444928163e-03 2.504584244565363077e-02 3.268944366760579128e-03
1.600000000000000089e+00 4.881026200648160007e-02 5.120667006340603143e-03 2.738273625358182695e-02 3.580273422912191948e-03
1.800000000000000044e+00 4.728270150891317192e-02 5.025773303526815533e-03 2.831946907483846518e-02 3.717910413290891145e-03
2.000000000000000000e+00 4.397993760346841779e-02 4.756305425944620455e-03 2.784982788986059207e-02 3.681874037692637117e-03
2.200000000000000178e+00 3.951758605994844242e-02 4.369059545779894159e-03 2.627421947625847160e-02 3.509830046020367012e-03
2.399999999999999911e+00 3.439078204557811241e-02 3.907482486230986346e-03 2.385932876570643832e-02 3.231570464305716719e-03
2.600000000000000089e+00 2.902236093957029361e-02 3.408200387410006971e-03 2.089009080127095935e-02 2.878651772848472151e-03
2.799999999999999822e+00 2.381679407112994792e-02 2.908209741879466854e-03 1.770912385108647930e-02 2.491714226621843595e-03
3.000000000000000000e+00 1.905058021052114664e-02 2.434922370680449831e-03 1.457643476763404410e-02 2.101979515865952733e-03
