#pT v_2 stat_err_v_2 v_3 stat_err_v_3
2.000000000000000111e-01 1.800190735247547691e-02 1.866036255164647611e-03 4.944360374707772697e-03 6.517746216291463082e-04
4.000000000000000222e-01 2.481086691759043505e-02 2.580018993820541815e-03 7.722400244995464812e-03 1.019290356217213665e-03
5.999999999999999778e-01 3.312176662911474334e-02 3.450134488338436629e-03 1.069289508578027265e-02 1.409430195031993521e-03
8.000000000000000444e-01 4.364750145256653113e-02 4.546109467767367809e-03 1.558539631134761745e-02 2.041566817609360290e-03
1.000000000000000000e+00 5.412803857142595154e-02 5.638395916382441322e-03 2.196893204469616348e-02 2.858283918737441684e-03
1.199999999999999956e+00 6.299520406425648811e-02 6.572827293529058534e-03 2.879802715598195340e-02 3.726533534121011931e-03
1.399999999999999911e+00 6.956322770187055304e-02 7.288238461445392148e-03 3.517152192962209184e-02 4.534595735967516736e-03
1.600000000000000089e+00 7.368209686590546093e-02 7.777625578266988797e-03 4.049933241898415887e-02 5.212238901703786405e-03
1.800000000000000044e+00 7.548557027925903440e-02 8.059785597595592668e-03 4.446954387704508960e-02 5.725074831135634409e-03
2.000000000000000000e+00 7.525367257866295845e-02 8.164402589924202661e-03 4.698293942298256004e-02 6.064735825860979347e-03
2.200000000000000178e+00 7.333585606162747184e-02 8.124610697787838787e-03 4.809153623562803515e-02 6.240206648069521536e-03
2.399999999999999911e+00 7.010238981602723296e-02 7.973336287571188355e-03 4.794575227215300967e-02 6.270941372283082328e-03
2.600000000000000089e+00 6.591115050175480605e-02 7.741394419026686145e-03 4.675068012244480015e-02 6.181791972972986750e-03
2.799999999999999822e+00 6.108460710277029138e-02 7.456520195659325882e-03 4.473127452510492624e-02 5.999467455916345990e-03
3.000000000000000000e+00 5.589648036986308993e-02 7.142985276389162558e-03 4.210672823082246830e-02 5.750184164305710728e-03
