#pT yield
2.000000000000000111e-01 9.463705213622450430e+00
4.000000000000000222e-01 1.036015637959183611e+00
5.999999999999999778e-01 2.582202208979592073e-01
8.000000000000000444e-01 7.508122986224489981e-02
1.000000000000000000e+00 2.349113126467857610e-02
1.199999999999999956e+00 7.853409212575001436e-03
1.399999999999999911e+00 2.689094704642857030e-03
1.600000000000000089e+00 9.574559212264288676e-04
1.800000000000000044e+00 3.475744549892091943e-04
2.000000000000000000e+00 1.297768557895917919e-04
2.200000000000000178e+00 4.984817014715152330e-05
2.399999999999999911e+00 1.942934652005316723e-05
2.600000000000000089e+00 7.428794709659083218e-06
2.799999999999999822e+00 2.721122917765510364e-06
3.000000000000000000e+00 9.291510497051528363e-07
