#pT yield
2.000000000000000111e-01 9.657896965062289496e+01
4.000000000000000222e-01 6.308383351478607182e+00
6.000000000000000888e-01 1.108797806924240570e+00
8.000000000000000444e-01 3.029789154412510510e-01
1.000000000000000000e+00 1.067906202994855919e-01
1.200000000000000178e+00 4.448669124836665545e-02
1.400000000000000133e+00 2.086797282152449279e-02
1.600000000000000089e+00 1.069955109401530408e-02
1.800000000000000044e+00 5.879664339509708265e-03
2.000000000000000000e+00 3.415824915675872396e-03
2.200000000000000178e+00 2.077203468656246312e-03
2.400000000000000355e+00 1.312401366441491015e-03
2.600000000000000089e+00 8.565777548808261102e-04
2.800000000000000266e+00 5.749343864858244991e-04
3.000000000000000000e+00 3.954110451506954375e-04
