#pT yield
2.000000000000000111e-01 2.724351528652049836e+01
4.000000000000000222e-01 4.785519412105815995e+00
5.999999999999999778e-01 1.414698861731745305e+00
8.000000000000000444e-01 5.104288479915675136e-01
1.000000000000000000e+00 2.043675063935520841e-01
1.199999999999999956e+00 8.747100729254020379e-02
1.399999999999999911e+00 3.932974286554592747e-02
1.600000000000000089e+00 1.840640152084069628e-02
1.800000000000000044e+00 8.916579573806654099e-03
2.000000000000000000e+00 4.454076875853432704e-03
2.200000000000000178e+00 2.287493319860972596e-03
2.399999999999999911e+00 1.204748559767757597e-03
2.600000000000000089e+00 6.491669241373339977e-04
2.799999999999999822e+00 3.571037970714613504e-04
3.000000000000000000e+00 2.001364039897236282e-04
3.200000000000000178e+00 1.140591089841441242e-04
3.399999999999999911e+00 6.598616419613927120e-05
3.600000000000000089e+00 3.869135671655067935e-05
3.799999999999999822e+00 2.296184400282172557e-05
4.000000000000000000e+00 1.377505855318526764e-05
