#pT yield
2.000000000000000111e-01 1.331186219268213620e+02
4.000000000000000222e-01 1.211897311399299149e+01
5.999999999999999778e-01 2.779793082747019639e+00
8.000000000000000444e-01 8.879633132330706502e-01
1.000000000000000000e+00 3.344639721274548227e-01
1.199999999999999956e+00 1.397339216345097612e-01
1.399999999999999911e+00 6.285060365689643103e-02
1.600000000000000089e+00 3.004484440374272092e-02
1.800000000000000044e+00 1.513361692471671197e-02
2.000000000000000000e+00 7.993752059817543082e-03
2.200000000000000178e+00 4.410940930817797319e-03
2.399999999999999911e+00 2.534302205921979551e-03
2.600000000000000089e+00 1.511687278404189733e-03
2.799999999999999822e+00 9.337617732193481072e-04
3.000000000000000000e+00 5.957905468308515549e-04
3.200000000000000178e+00 3.914060344791441080e-04
3.399999999999999911e+00 2.645922709715662203e-04
3.600000000000000089e+00 1.833413265601355462e-04
3.799999999999999822e+00 1.299298583835902909e-04
4.000000000000000000e+00 9.397291186288603574e-05
