#pT yield
2.000000000000000111e-01 4.819693566402021645e+01
4.000000000000000222e-01 4.265359399748190228e+00
5.999999999999999778e-01 9.587990659512566349e-01
8.000000000000000444e-01 3.055820444577976858e-01
1.000000000000000000e+00 1.157225051203538690e-01
1.199999999999999956e+00 4.866690989236126946e-02
1.399999999999999911e+00 2.205859895252044317e-02
1.600000000000000089e+00 1.061775202230497497e-02
1.800000000000000044e+00 5.383861453132194295e-03
2.000000000000000000e+00 2.861588795591913943e-03
2.200000000000000178e+00 1.588678889687983493e-03
2.399999999999999911e+00 9.185546212309796642e-04
2.600000000000000089e+00 5.516048958594117453e-04
2.799999999999999822e+00 3.431123755418700799e-04
3.000000000000000000e+00 2.204740268954221588e-04
3.200000000000000178e+00 1.459557961912641985e-04
3.399999999999999911e+00 9.928375727342180379e-05
3.600000000000000089e+00 6.921794795650669258e-05
3.799999999999999822e+00 4.933925831749129507e-05
4.000000000000000000e+00 3.587746471763058362e-05
