gb	⟨eB_tot ⟩	⟨|eB_x| ⟩	⟨eB_y ⟩	⟨|eB_y| ⟩	V	Eventos
0	0.566	0.367	0.008	0.355	0	1000
1	0.607	0.345	0.258	0.426	0	10000
2	0.695	0.309	0.501	0.562	0	10000
3	1.056	0.287	0.932	0.973	0	10000
4	1.022	0.242	0.852	0.949	0	10
5	1.183	0.266	1.143	1.143	0	10
6	1.299	0.245	1.26	1.26	0	10
7	1.422	0.196	1.382	1.39	0	10000
8	1.505	0.142	1.494	1.494	0	10
9	1.55	0.105	1.545	1.545	0	10
10	1.581	0.119	1.573	1.573	0	1000
11	1.592	0.094	1.587	1.587	0	10
12	1.599	0.107	1.594	1.594	0	10
13	1.516	0.037	1.516	1.516	0	10
14	1.531	0.05	1.529	1.529	0	10
15	1.499	0.06	1.498	1.498	0	10
16					0	
						
t=0fm						
